DEPARTAMENTO,MUNICIPIO,NUMERO_DEL_PREDIO,NUMERO_DE_ORDEN,TOTAL_REGISTROS,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA,AVALUO,VIGENCIA,NUMERO_PREDIAL_ANTERIOR
27,495,0001000000010202000000000,1,1,D,4000,0,26650000,1012022,100010202000
27,495,0001000000010203000000000,1,1,D,67500,0,6995000,1012022,100010203000
27,495,0001000000010204000000000,1,1,D,2500,0,259000,1012022,100010204000
27,495,0001000000010205000000000,1,1,D,74000,0,7669000,1012022,100010205000
27,495,0001000000010206000000000,1,1,D,2200,0,229000,1012022,100010206000
27,495,0001000000010207000000000,1,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010207000000000,2,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010207000000000,3,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010207000000000,4,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010207000000000,5,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010207000000000,6,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010207000000000,7,7,D,330000,0,34202000,1012022,100010207000
27,495,0001000000010208000000000,1,1,D,3000,0,312000,1012022,100010208000
27,495,0001000000010209000000000,1,2,D,1600,0,165000,1012022,100010209000
27,495,0001000000010209000000000,2,2,D,1600,0,165000,1012022,100010209000
27,495,0001000000010210000000000,1,2,D,1600,0,165000,1012022,100010210000
27,495,0001000000010210000000000,2,2,D,1600,0,165000,1012022,100010210000
27,495,0001000000010211000000000,1,2,A,600,0,4104000,1012022,100010211000
27,495,0001000000010211000000000,2,2,A,600,0,4104000,1012022,100010211000
27,495,0001000000010212000000000,1,1,D,4800,0,496000,1012022,100010212000
27,495,0001000000010213000000000,1,3,D,28710,0,2976000,1012022,100010213000
27,495,0001000000010213000000000,2,3,D,28710,0,2976000,1012022,100010213000
27,495,0001000000010213000000000,3,3,D,28710,0,2976000,1012022,100010213000
27,495,0001000000010214000000000,1,1,D,1700,0,7551000,1012022,100010214000
27,495,0001000000010215000000000,1,3,D,1600,0,7106000,1012022,100010215000
27,495,0001000000010215000000000,2,3,D,1600,0,7106000,1012022,100010215000
27,495,0001000000010215000000000,3,3,D,1600,0,7106000,1012022,100010215000
27,495,0001000000010216000000000,1,1,D,3000,0,312000,1012022,100010216000
